[Thread-1] DEBUG com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - Writer thread is started
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 23
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 40 added to list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 24
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 41 added to list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 25
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 42 added to list
[Thread-3] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 26
[Thread-3] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListRemoverThread  - 41 removed from list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 25
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 43 added to list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 26
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 44 added to list
[Thread-3] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 27
[Thread-3] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListRemoverThread  - 43 removed from list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 26
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 45 added to list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - Writer thread is started
[Thread-3] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListRemoverThread  - Remover thread is started
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 0
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 1 added to list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 1
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 2 added to list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 2
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 3 added to list
[Thread-3] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 3
[Thread-3] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListRemoverThread  - 2 removed from list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 2
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 4 added to list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 3
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.concurrency.ListWriterThread  - 5 added to list
[Thread-1] INFO  com.gunduznurullayev.lsim.interview.utils.ListWrapper  - size: 4
